Timeframe,Symbol,Direction,Entry Time,Exit Time,Entry Price,Exit Price,Gross PnL %,Net PnL %,Status,Exit Reason,Regime,Regime Reason,Triggered Rules
1d,XRPUSDT,Bearish,2020-10-30T00:00:00+00:00,2020-11-06T00:00:00+00:00,0.2424,0.2603981976467409,-7.42,-7.54,loss,stop_loss,BEAR_TREND,EMA(9) < EMA(21) and ADX 28.44 >= 20.00,rsi_momentum:-0.05
1d,XRPUSDT,Bullish,2020-11-08T00:00:00+00:00,2020-11-16T00:00:00+00:00,0.249,0.2783059649894281,11.77,11.73,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 38.28 >= 20.00,"ema_trend:-0.03, rsi_momentum:0.01, volume_confirmation:0.20"
1d,XRPUSDT,Bullish,2020-11-17T00:00:00+00:00,2020-11-20T00:00:00+00:00,0.2885,0.31833762193739873,10.34,10.30,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 28.20 >= 20.00,"ema_trend:0.10, rsi_momentum:0.20"
1d,XRPUSDT,Bullish,2020-11-21T00:00:00+00:00,2020-11-22T00:00:00+00:00,0.3306,0.36834008603587165,11.42,11.38,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 32.73 >= 20.00,"ema_trend:0.25, rsi_momentum:0.20"
1d,XRPUSDT,Bullish,2020-11-23T00:00:00+00:00,2020-11-24T00:00:00+00:00,0.4465,0.5154682374492975,15.45,15.41,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 39.64 >= 20.00,"ema_trend:0.25, rsi_momentum:0.20, volume_confirmation:0.20"
1d,XRPUSDT,Bullish,2020-11-25T00:00:00+00:00,2020-11-26T00:00:00+00:00,0.6951,0.6133294825546556,-11.76,-11.88,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 46.77 >= 20.00,"ema_trend:0.25, rsi_momentum:0.20, volume_confirmation:0.20"
1d,ADAUSDT,Bullish,2020-10-19T00:00:00+00:00,2020-10-28T00:00:00+00:00,0.10742,0.09749575853941213,-9.24,-9.36,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 20.69 >= 20.00,rsi_momentum:0.08
1d,ADAUSDT,Bearish,2020-11-01T00:00:00+00:00,2020-11-06T00:00:00+00:00,0.09291,0.10221958449284238,-10.02,-10.14,loss,stop_loss,BEAR_TREND,EMA(9) < EMA(21) and ADX 21.01 >= 20.00,"ema_trend:-0.05, rsi_momentum:-0.13"
1d,ADAUSDT,Bullish,2020-11-11T00:00:00+00:00,2020-11-21T00:00:00+00:00,0.10594,0.12232397893638391,15.47,15.43,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 21.66 >= 20.00,rsi_momentum:0.04
1d,ADAUSDT,Bullish,2020-11-22T00:00:00+00:00,2020-11-23T00:00:00+00:00,0.13354,0.15180611143932785,13.68,13.64,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 21.50 >= 20.00,"ema_trend:0.15, rsi_momentum:0.20"
1d,ADAUSDT,Bullish,2020-11-24T00:00:00+00:00,2020-11-26T00:00:00+00:00,0.15494,0.1390765975059646,-10.24,-10.36,loss,stop_loss,BULL_TREND,EMA(9) > EMA(21) and ADX 27.86 >= 20.00,"ema_trend:0.25, rsi_momentum:0.20, volume_confirmation:0.20"
1d,BTCUSDT,Bullish,2020-12-02T00:00:00+00:00,2020-12-16T00:00:00+00:00,18772.7,21292.388745102508,13.42,13.38,win,take_profit,BULL_TREND,EMA(9) > EMA(21) and ADX 44.72 >= 20.00,"ema_trend:0.25, higher_tf_trend:0.30, rsi_momentum:0.12"
